prirustkovy_pocet_ag_testu,prirustkovy_pocet_nakazenych,prirustkovy_pocet_provedenych_testu,prirustkovy_pocet_umrti,prirustkovy_pocet_vylecenych,year,month
0,0,37,0,0,2020,1
0,0,163,0,0,2020,2
0,3315,55788,35,131,2020,3
0,4382,197883,207,4926,2020,4
0,1605,189764,76,2809,2020,5
0,2696,112454,29,1544,2020,6
0,4591,143724,35,3862,2020,7
0,8061,215114,45,6500,2020,8
0,46138,477079,248,27307,2020,9
0,264342,944829,2929,166871,2020,10
280306,188216,752563,5005,265139,2020,11
571905,209024,724873,3407,148192,2020,12
782223,255681,789604,4854,282523,2021,1
1125692,252894,769929,4163,207194,2021,2
4381103,299881,891998,6088,300605,2021,3
5173647,93315,510809,2575,155889,2021,4
5825173,28879,535487,663,53056,2021,5
3812050,5327,741412,80,10726,2021,6
2111053,5984,976811,16,4834,2021,7
1953486,5698,1002109,28,5589,2021,8
1431734,12937,771433,45,8617,2021,9
1508390,73179,906964,335,24452,2021,10
930670,251924,1248130,1441,95837,2021,11
